userId,name,gender,created,accountAge,lastSeen,lastSeenDaysAgo,totalPurchaseOrders,totalCompletedOrders,latestPostedOrders,latestCompletedOrders,orderExpenditure,indecisiveScoring,RecencyInTransaction,AOV,sucessRate,beautyProduct,lifestyleProduct,ladiesFashion,FoodAndDrinks,collectibles,menFashion,Sports,Baby,Games,Pets,HouseholdProducts,eElse,topCategoryValue,PreferredCategory,email
12,Johanna Rubio,female,15/5/17 10:01,465,26/5/18,89,3,0,24/5/17,,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,kdicke0@indiegogo.com
46,Jagdeep Khan,female,15/5/17 18:56,465,17/6/18,67,3,1,21/5/18,16/11/17,76.9,0.5,258,76.9,0.3333,0,0,0,1,0,0,0,0,0,0,0,0,1,FoodAndDrinks,keseler1@4shared.com
58,Liana Chase,female,15/5/17 19:28,465,15/5/18,100,3,0,15/5/17,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mbodemeaid2@altervista.org
74,Leyla Benjamin,female,28/6/17 18:57,421,1/10/17,326,3,0,30/7/17,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mbodicum3@plala.or.jp
90,Scarlett-Rose Perez,female,1/7/17 16:54,418,23/10/17,304,3,0,2/7/17,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,kmcduffie4@sina.com.cn
103,Adele Edmonds,female,2/7/17 13:41,417,18/5/18,97,3,2,18/3/18,5/4/18,0,3,118,0,0.6667,2,0,0,0,0,0,0,0,0,0,0,0,2,beautyProduct,mphear5@marketwatch.com
105,Nico Trujillo,female,19/10/15 15:08,1039,5/6/18,79,4,0,1/8/16,,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rlergan6@opera.com
113,Tiana Battle,female,20/10/15 7:54,1038,30/4/18,115,4,1,25/4/18,6/8/16,14.84,1.5,725,14.84,0.25,0,0,0,1,0,0,0,0,0,0,0,0,1,FoodAndDrinks,lloftus7@icq.com
154,Kirsten Pearce,female,24/10/15 11:26,1034,16/7/18,38,4,2,11/11/17,21/11/17,44.66,0.3333,253,22.33,0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,FoodAndDrinks,rjanc8@360.cn
164,Edna Stark,female,24/10/15 14:35,1034,6/5/18,109,4,0,29/4/17,,0,0.3333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,calmond9@yahoo.co.jp
179,Kirsty Castro,female,25/10/15 15:06,1033,26/5/18,89,4,0,23/2/16,,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,dbromeheada@is.gd
270,Jamie Wainwright,female,14/4/17 21:47,496,16/7/18,38,12,2,15/4/18,11/5/18,45.02,1.1667,82,22.51,0.1667,1,0,0,1,0,0,0,0,0,0,0,0,1,beautyProduct,fleebetterb@discovery.com
301,Uzma Mccall,female,18/4/17 17:36,492,23/7/18,31,12,9,13/1/18,6/11/17,1323.4,1.4,268,147.0444444,0.75,0,0,1,0,0,0,0,7,0,0,1,0,7,Baby,vneeshamc@networkadvertising.org
307,Stacey Solis,female,18/4/17 21:36,492,15/5/18,100,12,0,8/5/18,,0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rodorand@nps.gov
327,Aqsa Medina,female,23/4/17 22:53,487,31/7/18,23,12,1,2/2/18,8/6/17,119.7,2,419,119.7,0.0833,0,0,1,0,0,0,0,0,0,0,0,0,1,ladiesFashion,nboarere@pcworld.com
331,Emilie Barber,female,29/4/17 12:29,481,1/6/18,83,10,4,12/3/18,23/3/18,190.62,12,131,71.135,0.5,1,0,0,0,4,0,0,0,0,0,0,1,4,collectibles,ecordlef@princeton.edu
385,Dane Mcdowell,female,28/3/18 11:39,148,25/7/18,29,12,3,5/6/18,3/5/18,323.8,5,90,107.9333333,0.25,0,0,3,0,0,0,0,0,0,0,0,0,3,ladiesFashion,fbrydong@wordpress.org
421,Neave Whitmore,female,25/7/16 23:53,759,27/12/17,239,13,1,6/9/17,14/8/16,60.85,1.1667,717,60.85,0.0769,0,0,0,0,1,0,0,0,0,0,0,0,1,collectibles,blyddiatth@t-online.de
432,Catherine Atherton,female,26/7/16 13:10,758,12/1/18,223,13,4,11/5/17,31/5/17,241.8,6,427,60.45,0.3077,2,0,0,1,0,0,1,0,0,0,0,0,2,beautyProduct,hchellenhami@amazon.co.jp
439,Sierra Mclean,female,27/7/16 17:50,757,9/8/17,379,13,8,16/12/16,19/11/16,410.83,1.1667,620,51.35375,0.6154,2,0,0,2,2,0,0,0,0,0,0,2,2,beautyProduct,bbarnwillej@over-blog.com
516,Roberta Chapman,female,25/8/16 10:05,728,23/7/18,31,13,3,22/7/18,29/5/17,46.66,12,429,15.55333333,0.2308,1,0,0,2,0,0,0,0,0,0,0,0,2,FoodAndDrinks,mmercerk@vimeo.com
536,Katelyn Bolton,female,14/7/16 19:44,770,15/7/18,39,14,8,1/10/17,24/10/17,334.86,1.125,281,41.8575,0.5714,2,0,4,0,0,0,0,0,0,0,0,1,4,ladiesFashion,cskellenl@constantcontact.com
559,Kim Vaughan,female,27/7/16 1:36,757,8/1/18,227,14,2,8/1/18,3/11/16,64.99,0.8889,636,32.495,0.1429,0,0,0,2,0,0,0,0,0,0,0,0,2,FoodAndDrinks,tstriplingm@booking.com
565,Chyna Odom,female,1/8/16 22:40,752,9/7/18,45,14,1,5/7/18,21/8/16,89.25,1.8,710,89.25,0.0714,0,0,1,0,0,0,0,0,0,0,0,0,1,ladiesFashion,sivanilovn@cpanel.net
585,Cally Riggs,female,2/8/16 17:51,751,21/5/18,94,14,2,8/2/18,1/12/17,137.75,0.0769,243,68.875,0.1429,1,0,0,0,0,0,0,0,0,0,1,0,1,beautyProduct,wsamsono@sciencedaily.com
630,Nova Neville,female,3/8/16 21:33,750,18/5/18,97,14,2,1/2/18,27/7/17,65.75,1.8,370,32.875,0.1429,0,0,0,1,0,0,0,1,0,0,0,0,1,FoodAndDrinks,stitterellp@google.nl
643,Khadeeja Ray,female,4/8/16 17:19,749,20/11/17,276,14,3,20/11/17,9/11/16,86.25,1.8,630,28.75,0.2143,0,0,0,2,0,0,0,0,0,0,0,1,2,FoodAndDrinks,bdudnyq@jiathis.com
655,Farrell Mcfarland,female,12/8/16 20:43,741,5/7/18,49,14,2,6/6/18,28/6/18,111.53,1.8,34,55.765,0.1429,1,0,0,0,0,0,0,0,0,0,1,0,1,beautyProduct,arookesbyr@w3.org
691,Janine Mcpherson,female,21/8/16 20:32,732,25/7/18,29,13,8,10/3/18,9/10/17,663.96,0.5,148,77.84,0.6429,2,0,1,2,0,0,0,0,0,0,3,1,3,HouseholdProducts,gramess@pbs.org
696,Ava-Mae Humphrey,female,22/8/16 1:30,731,3/7/18,51,14,2,28/5/18,30/6/17,335.06,1.5,397,167.53,0.1429,0,0,1,0,1,0,0,0,0,0,0,0,1,ladiesFashion,rmcginnist@myspace.com
784,Marli Greaves,female,30/10/16 13:17,662,3/7/18,51,14,4,16/1/18,22/1/18,258.38,0.0769,191,64.595,0.2857,3,0,1,0,0,0,0,0,0,0,0,0,3,beautyProduct,nholburnu@oakley.com
785,Rita Blankenship,female,1/11/16 3:47,660,14/11/17,282,14,2,31/10/17,31/10/17,95.71,3,274,47.855,0.1429,0,0,1,0,1,0,0,0,0,0,0,0,1,ladiesFashion,kadcocksv@liveinternet.ru
793,Blythe Harmon,female,4/11/16 9:25,657,19/7/18,35,13,7,11/5/18,30/5/18,799.14,4,63,104.4675,0.5714,0,0,3,0,3,1,1,0,0,0,0,0,3,ladiesFashion,ejemmettw@mit.edu
835,Tegan George,female,5/11/16 20:48,656,1/7/18,53,14,1,27/5/18,12/5/18,12.7,4,81,12.7,0.0714,0,0,1,0,0,0,0,0,0,0,0,0,1,ladiesFashion,kosbidstonx@freewebs.com
871,Peyton Hogan,female,22/11/16 18:39,639,1/6/18,83,14,3,25/1/18,6/12/17,305.6,1.8,238,101.8666667,0.2143,2,0,0,0,0,1,0,0,0,0,0,0,2,beautyProduct,wcully@accuweather.com
914,Amaya Hartley,female,13/11/17 14:08,283,29/7/18,25,14,6,15/5/18,19/6/18,144.68,14,43,24.11333333,0.4286,0,0,0,6,0,0,0,0,0,0,0,0,6,FoodAndDrinks,kveeversz@360.cn
960,Bronte Yates,female,22/7/15 18:20,1128,11/12/17,255,15,5,7/11/17,14/12/17,119.86,1.4286,230,23.972,0.3333,1,0,0,4,0,0,0,0,0,0,0,0,4,FoodAndDrinks,nwaleworke10@google.com.au
972,Tamar Macleod,female,25/7/15 0:36,1125,9/6/18,75,15,10,2/8/16,15/8/16,405.28,1.1429,716,40.528,0.6667,1,0,0,8,0,0,0,0,0,1,0,0,8,FoodAndDrinks,cpanswick11@businesswire.com
984,Aleesha Ritter,female,25/7/15 19:52,1125,17/5/18,98,15,5,17/5/18,18/7/16,446.56,0.0714,744,89.312,0.3333,1,0,0,1,0,1,0,0,0,0,0,2,2,eElse,kbosche12@facebook.com
992,Asiyah Blackmore,female,31/7/15 0:03,1119,25/4/18,120,15,2,10/7/17,23/2/17,45.73,2.75,524,22.865,0.1333,0,0,0,2,0,0,0,0,0,0,0,0,2,FoodAndDrinks,dmantione13@miibeian.gov.cn
994,Olivia-Rose Oneil,female,30/8/15 22:05,1089,1/8/18,22,15,6,27/5/18,17/7/17,250.61,0.2308,380,41.76833333,0.4,0,0,0,0,2,0,0,0,0,0,0,4,4,eElse,wmyton14@phpbb.com
72,Tristan Piper,male,27/6/17 23:53,422,15/12/17,251,3,2,21/11/17,5/1/18,137.75,2,208,68.875,0.6667,0,0,0,0,1,0,1,0,0,0,0,0,1,collectibles,wgrishukov15@army.mil
92,Musab Rush,male,1/7/17 22:30,418,28/4/18,117,3,2,2/7/17,18/7/17,32.89,2,379,16.445,0.6667,1,0,0,0,0,0,0,0,0,0,1,0,1,beautyProduct,rbamb16@netscape.com
116,Conna Southern,male,22/10/15 9:02,1036,5/7/18,49,4,2,29/6/18,4/7/18,0,4,28,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,FoodAndDrinks,edahlen17@nih.gov
172,Teigan Jarvis,male,25/10/15 1:25,1033,25/8/17,363,4,1,2/1/17,13/2/17,55.5,1,534,55.5,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1,ladiesFashion,iduns18@51.la
181,Colby Bevan,male,26/10/15 8:39,1032,26/1/18,209,4,2,24/1/18,11/5/17,153.8,1,447,76.9,0.5,0,2,0,0,0,0,0,0,0,0,0,0,2,lifestyleProduct,dhanaford19@wordpress.com
192,Jill Leon,male,26/10/15 18:06,1032,23/8/17,365,4,1,13/9/16,20/11/15,70.48,0,985,70.48,0.25,0,1,0,0,0,0,0,0,0,0,0,0,1,lifestyleProduct,llintall1a@scribd.com
325,Finn Sykes,male,23/4/17 16:27,487,30/5/18,85,12,1,17/2/18,29/6/17,40.52,11,398,40.52,0.0833,0,0,0,1,0,0,0,0,0,0,0,0,1,FoodAndDrinks,jroberto1b@taobao.com
525,Blaine Cassidy,male,2/7/16 0:14,782,23/6/18,61,14,1,20/3/18,22/11/17,504.9,2.5,252,504.9,0.0714,0,0,0,0,0,1,0,0,0,0,0,0,1,menFashion,lsaenz1c@craigslist.org
547,Zakariyah Browne,male,21/7/16 15:28,763,24/6/18,60,14,10,22/11/17,8/12/17,463.69,2.2,236,46.369,0.7143,0,1,0,2,4,0,0,0,0,0,2,1,4,collectibles,bledington1d@behance.net
654,Eamon Jimenez,male,6/8/16 10:31,747,10/3/18,166,14,1,13/5/17,7/3/17,55.5,3.6667,512,55.5,0.0714,0,0,0,0,1,0,0,0,0,0,0,0,1,collectibles,bkornilyev1e@usda.gov
880,Hakim Weiss,male,7/12/16 11:45,624,18/4/18,127,14,3,16/11/17,7/6/17,123.7,6.5,420,41.23333333,0.2143,1,1,0,1,0,0,0,0,0,0,0,0,1,beautyProduct,acaudwell1f@sphinn.com
937,Rudy Lewis,male,5/5/15 12:22,1206,23/7/18,31,15,12,28/1/16,16/2/16,457.82,0.7,897,38.15166667,0.8,0,0,0,0,10,0,0,0,0,0,1,1,10,collectibles,mantonomoli1g@constantcontact.com
965,Kierran Crane,male,23/7/15 15:15,1127,6/12/17,260,15,4,3/11/15,19/11/15,164.36,5,986,41.09,0.2667,0,0,0,4,0,0,0,0,0,0,0,0,4,FoodAndDrinks,nronan1h@bbb.org
60,Ava-Rose Wiggins,unknown,27/6/17 6:56,422,16/9/17,341,3,2,6/9/17,16/9/17,118.49,3,319,59.245,0.6667,0,0,1,0,0,1,0,0,0,0,0,0,1,ladiesFashion,ktipton1i@canalblog.com
69,Tomasz Barber,unknown,27/6/17 16:00,422,7/4/18,138,3,1,4/7/17,5/8/17,73.69,2,361,73.69,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,1,beautyProduct,wfetters1j@auda.org.au
73,Selin Connelly,unknown,28/6/17 15:09,421,7/6/18,77,3,0,22/5/18,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,abernolet1k@is.gd
83,Leela Hart,unknown,30/6/17 19:21,419,31/8/17,357,3,0,12/8/17,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,jellicock1l@studiopress.com
